,setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
134,134,dummy,2YiMdiqqE2fWIYuwH8Djk3,0.313,0.477,0,-11.782,1,0.0476,0.196,0.149,0.114,0.398,119.424
135,135,dummy,5dhJhL42WWQLYBUTbMtLF7,0.503,0.632,0,-3.516,0,0.0309,0.438,1.87e-06,0.153,0.237,126.967
136,136,dummy,4CcZ0CLDV6ZLmd7IblYhW1,0.59,0.844,9,-5.47,0,0.0617,0.245,0.0,0.0961,0.281,139.895
137,137,dummy,6Nhb0mkSF1REEnmagqnTZ3,0.322,0.442,7,-7.728,1,0.0731,0.234,0.000108,0.12,0.166,63.26
138,138,dummy,5KLc5u0zJWwVuF96wqpMhB,0.484,0.602,2,-7.739,0,0.0292,0.325,6.78e-05,0.106,0.53,80.593
139,139,dummy,7Jm1ZyZKUOel136ysy34Ta,0.668,0.743,9,-5.241,1,0.0443,0.799,0.00472,0.0704,0.673,89.95
140,140,dummy,0OVcoOK5WVvE6D9CXkopa9,0.547,0.752,9,-5.153,1,0.0274,0.0992,0.0945,0.0896,0.716,150.002
141,141,dummy,3UTKzzqKwpnLKt0zgHyq0Y,0.505,0.956,7,-5.32,0,0.0574,0.00714,3.03e-06,0.0591,0.42,139.98
142,142,dummy,4ZVPOJH67uI7T99R7LVMwB,0.415,0.183,10,-13.557,0,0.031,0.965,0.00198,0.331,0.35,98.098
143,143,dummy,1236F7XZl6ta9kAcpaHEBy,0.277,0.182,10,-13.04,1,0.0374,0.779,0.0,0.384,0.163,73.673
144,144,dummy,1gpN29arJs1CSowgyfQkvY,0.196,0.637,4,-7.151,0,0.0342,0.0309,0.0,0.09,0.307,70.484
145,145,dummy,4yN7h8tz3Rge2ZEShEGzxL,0.495,0.639,10,-6.957,1,0.0289,0.00921,0.0,0.117,0.404,135.224
146,146,dummy,02Nvtbd0xIYiEn9ZJVt4yj,0.421,0.354,2,-7.295,1,0.0314,0.573,3.53e-06,0.204,0.146,126.713
147,147,dummy,2en2WoEKCBRU5rkdichy0O,0.538,0.703,9,-5.037,0,0.0318,0.771,0.0,0.342,0.767,119.422
148,148,dummy,4aaBYshQ6tsaoz4Lp1aVw2,0.321,0.443,10,-9.37,0,0.0306,0.187,0.0,0.214,0.24,67.809
149,149,dummy,1R9zImF8YCvb97o2vecSFS,0.242,0.347,0,-11.766,1,0.031,0.275,0.0,0.494,0.65,203.043
150,150,dummy,0DQQRJ4sR3pxwom9L7D7QR,0.89,0.523,6,-8.526,1,0.056,0.453,1.58e-06,0.0831,0.345,111.031
151,151,dummy,18ngbo8IEAQoNkt3LY3VXb,0.646,0.613,11,-8.082,1,0.0278,0.0431,0.873,0.246,0.403,136.036
152,152,dummy,2QsZVnbWVSjKMXK6K3uRBL,0.657,0.629,6,-4.938,1,0.0782,0.194,0.0,0.254,0.726,93.985
153,153,dummy,0KKkJNfGyhkQ5aFogxQAPU,0.853,0.56,1,-4.961,1,0.0406,0.013,0.0,0.0944,0.86,134.066
154,154,dummy,3Te3gG6MPEDNqLGzWrjKC3,0.599,0.635,1,-8.101,1,0.0679,0.064,0.0,0.0878,0.194,109.919
155,155,dummy,2DHuxbFzoS1fwTCSJi2bnW,0.696,0.479,9,-10.511,0,0.0325,0.905,0.000909,0.17,0.811,117.876
156,156,dummy,0PJIbOdMs3bd5AT8liULMQ,0.418,0.724,5,-3.724,1,0.0964,0.213,0.0,0.112,0.604,78.521
157,157,dummy,3TRNLShed8CXtj8xnEakW0,0.782,0.535,2,-3.902,1,0.121,0.0428,2.14e-06,0.449,0.764,154.014
158,158,dummy,0g1UzWISKHt7elmoM9TsAh,0.363,0.214,8,-10.348,1,0.0332,0.683,0.0,0.122,0.21,80.354
159,159,dummy,2zQAAj53fCLog8hzBfT1Fs,0.334,0.327,0,-8.454,1,0.0388,0.85,0.0,0.103,0.589,81.204
160,160,dummy,1K9kwPsyrJvZANjhzVKqml,0.448,0.52,10,-8.283,0,0.17,0.489,0.0,0.2,0.57,114.859
161,161,dummy,5kyd6oKvKmj6mWCaAaHoN4,0.741,0.58,0,-7.741,1,0.378,0.153,0.0,0.109,0.428,97.092
162,162,dummy,5xjTqz4aYQeBnFhwMPmfx9,0.703,0.669,11,-7.002,0,0.0648,0.31,0.0,0.115,0.546,115.139
163,163,dummy,6YZQx90VEuzf0lRY9TYh7j,0.673,0.596,11,-6.489,0,0.0438,0.316,1.88e-05,0.107,0.22,75.022
164,164,dummy,5EpdvRM97d8JBlvCz1V6gM,0.732,0.747,11,-4.443,0,0.0571,0.722,0.0,0.267,0.48,106.018
165,165,dummy,4HaTbFvIyeinaV6koLK3L4,0.605,0.885,10,-4.272,0,0.08,0.0495,0.0,0.149,0.643,87.935
166,166,dummy,3FISzZeOXxIw20PB0n5ed4,0.699,0.76,0,-6.395,1,0.12,0.0908,0.0,0.341,0.621,172.036
167,167,dummy,11ZPIe8MUvf8yXEWS1vNQZ,0.628,0.712,8,-8.54,0,0.129,0.513,3.36e-05,0.115,0.517,89.96
168,168,dummy,798qQI19swXUSS4ZmoR8O8,0.404,0.477,1,-6.431,1,0.0432,0.415,0.0,0.307,0.172,127.572
169,169,dummy,0a1wfCFtFWezmtf2D49EMF,0.762,0.666,0,-5.706,1,0.222,0.0686,0.0,0.132,0.31,94.641
170,170,dummy,2gam98EZKrF9XuOkU13ApN,0.808,0.97,10,-6.098,0,0.0506,0.0569,6.13e-05,0.154,0.868,114.328
171,171,dummy,3OZs6tgXsBmb3TWPn07YCF,0.893,0.433,11,-5.88,0,0.396,0.33,0.0,0.395,0.675,86.01
172,172,dummy,4wwqHo2gtdTLBWtnrx7XIu,0.7,0.742,11,-4.265,0,0.0591,0.0223,0.0,0.0651,0.766,103.88
173,173,dummy,0UQSyryW2vxE88AVFSZs3T,0.803,0.69,3,-5.89,1,0.269,0.0781,0.0,0.117,0.444,103.985
174,174,dummy,21Ft8ME799DMZjxNwmui6Z,0.67,0.649,0,-7.426,0,0.0875,0.667,0.00013,0.109,0.618,147.935
175,175,dummy,6za48riBTylMJHsf4AJPxK,0.696,0.65,11,-6.578,0,0.252,0.123,0.0,0.21,0.531,137.967
176,176,dummy,5embh0i7ZHHn3BXhjoeihX,0.68,0.531,10,-8.824,0,0.0351,0.0195,0.0,0.169,0.398,95.05
177,177,dummy,0ygfSHAl7aW40FHDQjSsD8,0.843,0.608,9,-5.289,0,0.0574,0.0405,0.0,0.116,0.59,99.996
178,178,dummy,3OQu3z3okKVmWxSXTTHak5,0.649,0.536,5,-8.804,0,0.132,0.492,0.0,0.184,0.513,78.935
179,179,dummy,4OBZT9EnhYIV17t4pGw7ig,0.473,0.371,4,-10.219,0,0.0405,0.795,0.0,0.109,0.413,75.208
